Experiment,Train Loss,Val Loss,Loss Gap,Total Params,Config Path
b128_L4_H4_E256_BS16_MI1000_D20_s14,1.7979,1.9337,0.13579999999999992,3160000.0,/content/nanoGPT/b128_L4_H4_E256_BS16_MI1000_D20_s14.py
b128_L4_H4_E256_BS16_MI2000_D10_s15,1.3453,1.5623,0.21700000000000008,3160000.0,/content/nanoGPT/b128_L4_H4_E256_BS16_MI2000_D10_s15.py
b128_L4_H4_E256_BS16_MI2000_D20_s16,1.4295,1.6264,0.19690000000000007,3160000.0,/content/nanoGPT/b128_L4_H4_E256_BS16_MI2000_D20_s16.py
b128_L4_H8_E128_BS8_MI1000_D10_s17,2.1974,2.2253,0.027899999999999814,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS8_MI1000_D10_s17.py
b128_L4_H8_E128_BS8_MI1000_D20_s18,2.251,2.2734,0.022400000000000198,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS8_MI1000_D20_s18.py
b128_L4_H8_E128_BS8_MI2000_D10_s19,1.7146,1.8729,0.1583000000000001,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS8_MI2000_D10_s19.py
b128_L4_H8_E128_BS8_MI2000_D20_s20,1.8296,1.954,0.12440000000000007,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS8_MI2000_D20_s20.py
b128_L4_H8_E128_BS16_MI1000_D10_s21,2.1643,2.1914,0.027099999999999902,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS16_MI1000_D10_s21.py
b128_L4_H8_E128_BS16_MI1000_D20_s22,2.2198,2.24,0.020199999999999996,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS16_MI1000_D20_s22.py
b128_L4_H8_E128_BS16_MI2000_D10_s23,1.6547,1.8261,0.1714,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS16_MI2000_D10_s23.py
b128_L4_H8_E128_BS16_MI2000_D20_s24,1.7752,1.918,0.14280000000000004,800000.0,/content/nanoGPT/b128_L4_H8_E128_BS16_MI2000_D20_s24.py
b128_L4_H8_E256_BS8_MI1000_D10_s25,1.8023,1.9158,0.11349999999999993,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS8_MI1000_D10_s25.py
b128_L4_H8_E256_BS8_MI1000_D20_s26,1.9059,1.9934,0.08750000000000013,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS8_MI1000_D20_s26.py
b128_L4_H8_E256_BS8_MI2000_D10_s27,1.3923,1.6077,0.2153999999999998,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS8_MI2000_D10_s27.py
b128_L4_H8_E256_BS8_MI2000_D20_s28,1.4875,1.6954,0.20789999999999997,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS8_MI2000_D20_s28.py
b128_L4_H8_E256_BS16_MI1000_D10_s29,1.7178,1.8694,0.15159999999999996,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS16_MI1000_D10_s29.py
b128_L4_H8_E256_BS16_MI1000_D20_s30,1.8126,1.9384,0.1257999999999999,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS16_MI1000_D20_s30.py
b128_L4_H8_E256_BS16_MI2000_D10_s31,1.3424,1.5556,0.21320000000000006,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS16_MI2000_D10_s31.py
b128_L4_H8_E256_BS16_MI2000_D20_s32,1.4325,1.6276,0.19509999999999983,3160000.0,/content/nanoGPT/b128_L4_H8_E256_BS16_MI2000_D20_s32.py
